Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
United States,CAIT,Total excluding LUCF,All GHG,MtCO₂e,6023.62,5842.8,5907.27,6003.65,6129.04,6108.67,5968.74,6214.43,6442.58,6194.45,6619.98,6797.86,6707.43,6801.82,6787.57,6706.39,6646.96,6806.97,6861.15,6706.4,6709.43,6675.67,6426.07,6260.71,6199.14,6108.08,6000.62,5918.73,5960.28
United States,CAIT,Total including LUCF,All GHG,MtCO₂e,5794.35,5613.64,5676.92,5586.69,5711.15,5690.79,5550.87,5796.78,6041.59,5793.66,6220.21,6397.67,6306.81,6401.12,6387.22,6306.12,6246.95,6406.04,6446.2,6291.25,6293.8,6258.47,6010.62,5843.9,5782.2,5691.26,5583.8,5501.92,5543.47
United States,CAIT,Energy,All GHG,MtCO₂e,5271.21,5100.78,5172.83,5277.14,5402.76,5391.95,5246.43,5483.27,5716.13,5484.76,5883.25,6044.83,5969.29,6069.18,6057.16,5982.76,5920.54,6088.07,6118.73,5957.91,5948.59,5914.9,5656.07,5501.62,5455.6,5379.69,5274.78,5203.59,5238.41
United States,CAIT,Industrial Processes,All GHG,MtCO₂e,233.91,227.96,222.02,221.22,219.36,209.35,210.15,217.0,204.59,190.55,208.91,221.72,208.39,204.42,199.03,191.49,202.07,192.09,208.7,206.14,209.71,198.51,197.28,187.54,165.51,160.57,157.31,154.31,164.71
United States,CAIT,Agriculture,All GHG,MtCO₂e,385.25,381.93,381.4,370.09,370.82,370.94,371.85,374.93,373.6,371.69,377.6,378.98,375.4,371.77,372.86,371.29,366.36,367.0,369.04,374.73,377.3,378.99,380.34,375.81,377.51,367.6,366.45,358.93,357.82
United States,CAIT,Waste,All GHG,MtCO₂e,133.24,132.13,131.03,135.2,136.1,136.43,140.31,139.23,148.27,147.45,150.22,152.34,154.35,156.44,158.53,160.86,157.99,159.81,164.69,167.63,173.82,183.26,192.39,195.75,200.52,200.22,202.08,201.9,199.34
United States,CAIT,Land-Use Change and Forestry,All GHG,MtCO₂e,-229.27,-229.16,-230.36,-416.96,-417.89,-417.88,-417.87,-417.65,-401.0,-400.8,-399.77,-400.19,-400.62,-400.7,-400.35,-400.27,-400.0,-400.93,-414.95,-415.16,-415.62,-417.19,-415.46,-416.82,-416.94,-416.82,-416.82,-416.82,-416.82
United States,CAIT,Bunker Fuels,All GHG,MtCO₂e,144.85,148.23,136.85,124.49,118.97,118.34,119.4,145.64,148.82,141.15,154.1,168.09,158.32,151.51,141.23,123.08,138.83,114.28,147.53,140.5,126.49,126.73,134.62,137.89,130.17,132.47,143.99,137.09,130.82
United States,CAIT,Electricity/Heat,All GHG,MtCO₂e,2103.17,2064.52,2145.51,2234.02,2376.19,2378.54,2360.2,2488.67,2609.56,2489.11,2719.59,2789.49,2722.96,2791.21,2742.06,2707.69,2679.75,2812.78,2801.39,2769.65,2800.15,2738.66,2504.04,2423.43,2360.7,2335.52,2276.97,2179.91,2159.79
United States,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,458.79,429.41,439.02,433.89,437.26,434.89,438.64,435.76,466.39,407.6,474.83,486.05,495.86,477.38,511.74,485.47,490.87,540.07,567.17,499.41,512.79,506.77,485.97,486.85,534.89,532.47,517.68,566.95,604.51
United States,CAIT,Transportation,All GHG,MtCO₂e,1762.24,1724.02,1711.22,1700.05,1639.85,1646.94,1597.53,1633.59,1679.77,1622.55,1708.27,1806.37,1806.02,1807.72,1788.67,1766.76,1741.64,1720.04,1717.85,1686.18,1640.36,1602.13,1577.19,1537.76,1506.9,1454.19,1430.66,1399.67,1426.97
United States,CAIT,Building,All GHG,MtCO₂e,550.68,497.9,496.47,512.54,545.08,528.01,460.55,522.21,545.06,551.36,556.25,549.01,517.53,571.94,590.29,605.74,582.87,581.7,599.13,567.36,548.58,600.08,616.39,580.06,575.86,585.59,565.08,555.2,545.48
United States,CAIT,Other Fuel Combustion,All GHG,MtCO₂e,94.75,93.83,94.48,97.6,101.33,105.1,100.03,106.0,112.12,110.72,116.87,122.31,130.76,128.84,132.35,123.07,129.34,127.45,127.17,124.23,129.39,133.94,133.49,130.6,128.95,126.24,127.17,140.37,140.89
United States,CAIT,Fugitive Emissions,All GHG,MtCO₂e,301.58,291.1,286.11,299.05,303.06,298.47,289.48,297.04,303.23,303.42,307.44,291.6,296.16,292.09,292.06,294.03,296.07,306.05,306.02,311.08,317.32,333.33,338.99,342.93,348.3,345.68,357.23,361.5,360.76
